,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
290,Marsdenia koi Tsiang,Marsdenia,koi Tsiang,,,,,,,,,,Apocynaceae,Marsdenia koi,Marsdenia koi,99193-1,99193-1,Species
291,Marsdenia latifolia (Benth.) K. Schum,Marsdenia,latifolia (Benth.) K. Schum,Yes,Yes,154,Yes,"S, R [151]",,,Active,151,Apocynaceae,Marsdenia latifolia,Marsdenia latifolia,99198-1,99198-1,Species
292,Marsdenia oreophila W.W. Sm.,Marsdenia,oreophila W.W. Sm.,,,,,,,,,,Apocynaceae,Marsdenia oreophila,Marsdenia oreophila,99243-1,99243-1,Species
293,Marsdenia rostrata R. Br.,Marsdenia,rostrata R. Br.,Yes,Yes,81,,,,,,,Apocynaceae,Marsdenia rostrata,Marsdenia rostrata,99275-1,99275-1,Species
294,Marsdenia roylei Wight,Marsdenia,roylei Wight,,,,,,,,,,Apocynaceae,Marsdenia roylei,Marsdenia roylei,99281-1,99281-1,Species
295,Marsdenia taylorii Schltr. & Rendle,Marsdenia,taylorii Schltr. & Rendle,,,,,,,,,,Apocynaceae,Marsdenia taylorii,Marsdenia taylorii,99317-1,99317-1,Species
296,Marsdenia tenacissima (Roxb.) Moon,Marsdenia,tenacissima (Roxb.) Moon,Yes,Yes,206,,,,,,,Apocynaceae,Marsdenia tenacissima,Marsdenia tenacissima,99319-1,99319-1,Species
297,Marsdenia tinctoria R. Br.,Marsdenia,tinctoria R. Br.,Yes,Yes,"144, 337",,,,,,,Apocynaceae,Marsdenia tinctoria,Marsdenia tinctoria,99325-1,99325-1,Species
298,Marsdenia tomentosa C. Morren & Decne.,Marsdenia,tomentosa C. Morren & Decne.,Yes,Yes,"340, 341",,,,,,,Apocynaceae,Marsdenia tomentosa,Marsdenia tomentosa,99328-1,99328-1,Species
299,Melodinus acutiflorus F. Muell.,Melodinus,acutiflorus F. Muell.,Yes,Yes,211,,,,,,,Apocynaceae,Melodinus acutiflorus,Melodinus acutiflorus,80158-1,80158-1,Species
300,Melodinus aeneus Baill.,Melodinus,aeneus Baill.,Yes,Yes,210,,,,,,,Apocynaceae,Melodinus aeneus,Melodinus aeneus,80160-1,80160-1,Species
301,Melodinus angustifolius Hayata,Melodinus,angustifolius Hayata,,,,,,,,,,Apocynaceae,Melodinus angustifolius,Melodinus angustifolius,80161-1,80161-1,Species
302,Melodinus australis (F. Muell.) Pierre,Melodinus,australis (F. Muell.) Pierre,Yes,Yes,210,,,,,,,Apocynaceae,Melodinus australis,Melodinus australis,80164-1,80164-1,Species
303,Melodinus axillaris W. T. Wang,Melodinus,axillaris W. T. Wang,Yes,Yes,210,,,,,,,Apocynaceae,Melodinus axillaris,Melodinus axillaris,80166-1,80166-1,Species
304,Melodinus balansae Baill.,Melodinus,balansae Baill.,Yes,Yes,212,,,,,,,Apocynaceae,Melodinus balansae,Melodinus balansae,80169-1,80169-1,Species
305,Melodinus cochinchinensis (Lour.) Merr.,Melodinus,cochinchinensis (Lour.) Merr.,Yes,Yes,150,,,,,,,Apocynaceae,Melodinus cochinchinensis,Melodinus cochinchinensis,80183-1,80183-1,Species
306,Melodinus fusiformis Champ. ex Benth.,Melodinus,fusiformis Champ. ex Benth.,Yes,Yes,201,,,,,,,Apocynaceae,Melodinus fusiformis,Melodinus fusiformis,80201-1,80201-1,Species
307,Melodinus philliraeoides Labill.,Melodinus,philliraeoides Labill.,Yes,Yes,210,,,,,,,Apocynaceae,Melodinus philliraeoides,Melodinus philliraeoides,80246-1,80246-1,Species
308,Melodinus reticulatus Boiteau,Melodinus,reticulatus Boiteau,Yes,Yes,210,,,,,,,Apocynaceae,Melodinus reticulatus,Melodinus reticulatus,80249-1,80249-1,Species
309,Melodinus scandens J.R.Forst & G.Forst,Melodinus,scandens J.R.Forst & G.Forst,Yes,Yes,209,,,,,,,Apocynaceae,Melodinus scandens,Melodinus scandens,80253-1,80253-1,Species
310,Melodinus tenuicaudatus Tsiang & P. T. Li,Melodinus,tenuicaudatus Tsiang & P. T. Li,Yes,Yes,208,,,,,,,Apocynaceae,Melodinus tenuicaudatus,Melodinus tenuicaudatus,80259-1,80259-1,Species
311,Metastelma harleyi Fontella,Metastelma,harleyi Fontella,Yes,Yes,144,,,,,,,Apocynaceae,Metastelma harleyi,Metastelma harleyi,280817-2,280817-2,Species
312,Microplumeria anomala (Müll. Arg.) Markgr.,Microplumeria,anomala (Müll. Arg.) Markgr.,Yes,Yes,213,,,,,,,Apocynaceae,Microplumeria anomala,Microplumeria anomala,80344-1,80344-1,Species
313,Minaria magisteriana (Rapini) T. U. P. Konno & Rapini,Minaria,magisteriana (Rapini) T. U. P. Konno & Rapini,Yes,Yes,144,,,,,,,Apocynaceae,Minaria magisteriana,Minaria magisteriana,77074595-1,77074595-1,Species
314,Mondia whitei (Hook. f.) Skeels,Mondia,whitei (Hook. f.) Skeels,,,,Yes,R [103],,,Inactive,214,Apocynaceae,Mondia whitei,Mondia whitei,99812-1,99812-1,Species
315,Monolluma quadrangula (Forssk.) Plowes,Monolluma,quadrangula (Forssk.) Plowes,,,,,,,,Inactive,173,Apocynaceae,Monolluma quadrangula,Monolluma quadrangula,986817-1,986817-1,Species
316,Motandra paniculata (Poir.) I. M. Turner,Motandra,paniculata (Poir.) I. M. Turner,,,,Yes,L [147],,,Inactive,147,Apocynaceae,Motandra paniculata,Motandra paniculata,77158413-1,77158413-1,Species
317,Myriopteron extensum (Wight) K.Schum.,Myriopteron,extensum (Wight) K.Schum.,,,,,,,,,,Apocynaceae,Myriopteron extensum,Myriopteron extensum,99829-1,99829-1,Species
318,Nerium oleander L.,Nerium,oleander L.,Yes,Yes,116,Yes,[79],Yes,[79],,,Apocynaceae,Nerium oleander,Nerium oleander,80460-1,80460-1,Species
319,Ochrosia acuminata Trimen ex Valeton,Ochrosia,acuminata Trimen ex Valeton,Yes,Yes,219,,,,,Active [300],KN/300,Apocynaceae,Ochrosia acuminata,Ochrosia acuminata,80487-1,80487-1,Species
320,Ochrosia alyxioides Guillaumin,Ochrosia,alyxioides Guillaumin,Yes,Yes,225,,,,,,,Apocynaceae,Ochrosia alyxioides,Ochrosia alyxioides,80488-1,80488-1,Species
321,Ochrosia borbonica J. F. Gmel.,Ochrosia,borbonica J. F. Gmel.,Yes,Yes,217,,,,,,,Apocynaceae,Ochrosia borbonica,Ochrosia borbonica,80491-1,80491-1,Species
322,Ochrosia coccinea (Teijsm. & Binn.) Miq.,Ochrosia,coccinea (Teijsm. & Binn.) Miq.,,,,,,,,,,Apocynaceae,Ochrosia coccinea,Ochrosia coccinea,80495-1,80495-1,Species
323,Ochrosia compta K. Schum.,Ochrosia,compta K. Schum.,Yes,Yes,222,,,,,,,Apocynaceae,Ochrosia compta,Ochrosia compta,80497-1,80497-1,Species
324,Ochrosia elliptica Labill.,Ochrosia,elliptica Labill.,Yes,Yes,216,,,,,Active [300],KN/300,Apocynaceae,Ochrosia elliptica,Ochrosia elliptica,80500-1,80500-1,Species
325,Ochrosia glomerata (Blume) F. Muell,Ochrosia,glomerata (Blume) F. Muell,,,,,,,,Active,215,Apocynaceae,Ochrosia glomerata,Ochrosia glomerata,77177054-1,77177054-1,Species
326,Ochrosia kilneri,Ochrosia,kilneri,,,,,,,,Active [336],KN/336,Apocynaceae,Ochrosia kilneri,Ochrosia kilneri,80515-1,80515-1,Species
327,Ochrosia lifuana Guillaumin,Ochrosia,lifuana Guillaumin,Yes,Yes,KN,,,,,Active [336],KN/336,Apocynaceae,Ochrosia lifuana,Ochrosia lifuana,80519-1,80519-1,Species
328,Ochrosia miana Baill. ex Guillaumin,Ochrosia,miana Baill. ex Guillaumin,Yes,Yes,"KN, 220",,,,,Active [336],KN/336,Apocynaceae,Ochrosia miana,Ochrosia miana,80524-1,80524-1,Species
329,Ochrosia moorei (F. Muell.) Benth.,Ochrosia,moorei (F. Muell.) Benth.,Yes,Yes,226,,,,,Active,258,Apocynaceae,Ochrosia moorei,Ochrosia moorei,80527-1,80527-1,Species
330,Ochrosia mulsantii Montrouz.,Ochrosia,mulsantii Montrouz.,Yes,Yes,218,,,,,,,Apocynaceae,Ochrosia mulsantii,Ochrosia mulsantii,80528-1,80528-1,Species
331,Ochrosia nakaiana (Koidz.) Koidz. ex H. Hara,Ochrosia,nakaiana (Koidz.) Koidz. ex H. Hara,Yes,Yes,224,,,,,,,Apocynaceae,Ochrosia nakaiana,Ochrosia nakaiana,80530-1,80530-1,Species
332,Ochrosia oppositifolia (Lam.) K. Schum.,Ochrosia,oppositifolia (Lam.) K. Schum.,Yes,Yes,201,,,,,,,Apocynaceae,Ochrosia oppositifolia,Ochrosia oppositifolia,80534-1,80534-1,Species
333,Ochrosia poweri F. M. Bailey,Ochrosia,poweri F. M. Bailey,Yes,Yes,"KN, 223",,,,,,,Apocynaceae,Ochrosia poweri,Ochrosia poweri,80538-1,80538-1,Species
334,Ochrosia silvatica Däniker,Ochrosia,silvatica Däniker,Yes,Yes,221,,,,,,,Apocynaceae,Ochrosia silvatica,Ochrosia silvatica,80545-1,80545-1,Species
335,Ochrosia vitiensis,Ochrosia,vitiensis,,,,,,,,Active [300],KN/300,Apocynaceae,Ochrosia vitiensis,Ochrosia vitiensis,80554-1,80554-1,Species
336,Oncinotis nitida Benth.,Oncinotis,nitida Benth.,Yes,Yes,228,,,,,,,Apocynaceae,Oncinotis nitida,Oncinotis nitida,80635-1,80635-1,Species
337,Oncinotis tenuiloba Stapf,Oncinotis,tenuiloba Stapf,Yes,Yes,227,,,,,,,Apocynaceae,Oncinotis tenuiloba,Oncinotis tenuiloba,80641-1,80641-1,Species
338,Orbea variegata (L.) Haw.,Orbea,variegata (L.) Haw.,,,,,,,,,,Apocynaceae,Orbea variegata,Orbea variegata,99924-1,99924-1,Species
339,Orthanthera viminea Wight,Orthanthera,viminea Wight,,,,,,,,,,Apocynaceae,Orthanthera viminea,Orthanthera viminea,99950-1,99950-1,Species
340,Oxypetalum banksii R. Br. ex Schult.,Oxypetalum,banksii R. Br. ex Schult.,Yes,Yes,53,,,,,,,Apocynaceae,Oxypetalum banksii,Oxypetalum banksii,179274-2,179274-2,Species
341,Oxystelma esculentum (L. f.) Sm.,Oxystelma,esculentum (L. f.) Sm.,,,,,,,,,,Apocynaceae,Oxystelma esculentum,Oxystelma esculentum,60458242-2,60458242-2,Species
342,Pachycarpus distinctus (N. E. Br) Bullock,Pachycarpus,distinctus (N. E. Br) Bullock,,,,,,,,,,Apocynaceae,Pachycarpus distinctus,Pachycarpus distinctus,100226-1,100226-1,Species
343,Pachycarpus lineolatus (Decne.) Bullock,Pachycarpus,lineolatus (Decne.) Bullock,,,,,,,,,,Apocynaceae,Pachycarpus lineolatus,Pachycarpus lineolatus,100241-1,100241-1,Species
344,Pachycarpus schinzianus (Schltr.) N. E. Br.,Pachycarpus,schinzianus (Schltr.) N. E. Br.,,,,,,,,,,Apocynaceae,Pachycarpus schinzianus,Pachycarpus schinzianus,100257-1,100257-1,Species
345,Pachypodium lamerei Drake,Pachypodium,lamerei Drake,Yes,Yes,229,,,,,,,Apocynaceae,Pachypodium lamerei,Pachypodium lamerei,80705-1,80705-1,Species
346,Parahancornia fasciculata (Poir.) Benoist,Parahancornia,fasciculata (Poir.) Benoist,Yes,Yes,230,Yes,[42],,,Inactive,42,Apocynaceae,Parahancornia fasciculata,Parahancornia fasciculata,182946-2,182946-2,Species
347,Parepigynum funingense Tsiang et P. T. Li,Parepigynum,funingense Tsiang et P. T. Li,,,,,,,,,,Apocynaceae,Parepigynum funingense,Parepigynum funingense,80864-1,80864-1,Species
348,Parsonsia alboflavescens (Denst.) Mabb.,Parsonsia,alboflavescens (Denst.) Mabb.,Yes,Yes,"KN, 143, 330",,,,,,,Apocynaceae,Parsonsia alboflavescens,Parsonsia alboflavescens,80868-1,80868-1,Species
349,Parsonsia eucalyptophylla F. Muell.,Parsonsia,eucalyptophylla F. Muell.,Yes,Yes,"KN, 143, 330",,,,,,,Apocynaceae,Parsonsia eucalyptophylla,Parsonsia eucalyptophylla,80910-1,80910-1,Species
350,Parsonsia heterophylla A. Cunn.,Parsonsia,heterophylla A. Cunn.,Yes,Yes,"KN, 143",,,,,,,Apocynaceae,Parsonsia heterophylla,Parsonsia heterophylla,80926-1,80926-1,Species
351,Parsonsia oligantha (K. Schum.) D. J. Middleton,Parsonsia,oligantha (K. Schum.) D. J. Middleton,Yes,Yes,143,,,,,,,Apocynaceae,Parsonsia oligantha,Parsonsia oligantha,995742-1,995742-1,Species
352,Parsonsia straminea (R. Br.) F. Muell,Parsonsia,straminea (R. Br.) F. Muell,Yes,Yes,"KN, 143, 331",,,,,,,Apocynaceae,Parsonsia straminea,Parsonsia straminea,50061-3,50061-3,Species
353,Pattalias palustris (Pursh) Fishbein,Pattalias,palustris (Pursh) Fishbein,Yes,Yes,144,,,,,,,Apocynaceae,Pattalias palustris,Pattalias palustris,77174448-1,77174448-1,Species
354,Pentalinon andrieuxii (Müll. Arg.) B. F. Hansen & Wunderlin,Pentalinon,andrieuxii (Müll. Arg.) B. F. Hansen & Wunderlin,,,,,,,,Inactive,231,Apocynaceae,Pentalinon andrieuxii,Pentalinon andrieuxii,942488-1,942488-1,Species
355,Pentalinon luteum (L.) B.F.Hansen & Wunderlin,Pentalinon,luteum (L.) B.F.Hansen & Wunderlin,,,,,,,,,,Apocynaceae,Pentalinon luteum,Pentalinon luteum,942487-1,942487-1,Species
356,Pentatropis capensis (L. f.) Bullock,Pentatropis,capensis (L. f.) Bullock,Yes,Yes,119,,,,,,,Apocynaceae,Pentatropis capensis,Pentatropis capensis,100315-1,100315-1,Species
357,Pentopetia albicans (Jum. & H. Perrier) Klack.,Pentopetia,albicans (Jum. & H. Perrier) Klack.,Yes,No,284,,,,,,,Apocynaceae,Pentopetia albicans,Pentopetia albicans,1011612-1,1011612-1,Species
358,Pentopetia androsaemifolia Decne.,Pentopetia,androsaemifolia Decne.,,,,,,,,,,Apocynaceae,Pentopetia androsaemifolia,Pentopetia androsaemifolia,100332-1,100332-1,Species
359,Peplonia adnata (E. Fourn.) U. C. S. Silva & Rapini,Peplonia,adnata (E. Fourn.) U. C. S. Silva & Rapini,Yes,Yes,144,,,,,,,Apocynaceae,Peplonia adnata,Peplonia adnata,77130384-1,77130384-1,Species
360,Peplonia axillaris (Vell.) Fontella & Rapini,Peplonia,axillaris (Vell.) Fontella & Rapini,Yes,Yes,53,,,,,,,Apocynaceae,Peplonia axillaris,Peplonia axillaris,77064982-1,77064982-1,Species
361,Pergularia daemia (Forssk.) Chiov.,Pergularia,daemia (Forssk.) Chiov.,Yes,Yes,119,Yes,"R, L [148]",,,Inactive,165,Apocynaceae,Pergularia daemia,Pergularia daemia,100371-1,100371-1,Species
362,Pergularia daemia subsp. daemia,Pergularia,daemia subsp. daemia,Yes,Yes,234,,,,,,,Apocynaceae,Pergularia daemia subsp. daemia,Pergularia daemia,100371-1,77172919-1,Subspecies
363,Pergularia tomentosa L.,Pergularia,tomentosa L.,Yes,Yes,235,,,,,,,Apocynaceae,Pergularia tomentosa,Pergularia tomentosa,100411-1,100411-1,Species
364,Periploca calophylla (Wight) Falc.,Periploca,calophylla (Wight) Falc.,,,,,,,,,,Apocynaceae,Periploca calophylla,Periploca calophylla,100435-1,100435-1,Species
365,"Periploca chrysantha D.S. Yao, X.D. Chen & J.W. Ren",Periploca,"chrysantha D.S. Yao, X.D. Chen & J.W. Ren",,,,,,,,,,Apocynaceae,Periploca chrysantha,Periploca chrysantha,20007318-1,20007318-1,Species
366,Periploca forrestii Schltr.,Periploca,forrestii Schltr.,,,,,,,,,,Apocynaceae,Periploca forrestii,Periploca forrestii,100454-1,100454-1,Species
367,Periploca graeca L.,Periploca,graeca L.,,,,,,,,,,Apocynaceae,Periploca graeca,Periploca graeca,100459-1,100459-1,Species
368,Periploca hydaspidis Falc.,Periploca,hydaspidis Falc.,Yes,Yes,236,,,,,,,Apocynaceae,Periploca hydaspidis,Periploca hydaspidis,100463-1,100463-1,Species
369,Periploca linearifolia Quart.-Dill. & A. Rich,Periploca,linearifolia Quart.-Dill. & A. Rich,,,,Yes,B [103],,,Inactive,34,Apocynaceae,Periploca linearifolia,Periploca linearifolia,100470-1,100470-1,Species
370,Periploca sepium Bunge,Periploca,sepium Bunge,,,,,,,,,,Apocynaceae,Periploca sepium,Periploca sepium,100502-1,100502-1,Species
371,Periploca somaliensis Browicz,Periploca,somaliensis Browicz,,,,,,,,Inactive,91,Apocynaceae,Periploca somaliensis,Periploca somaliensis,100504-1,100504-1,Species
372,Petchia ceylanica (Wight) Livera,Petchia,ceylanica (Wight) Livera,Yes,Yes,238,,,,,,,Apocynaceae,Petchia ceylanica,Petchia ceylanica,81104-1,81104-1,Species
373,Petchia cryptophlebia (Baker) Leeuwenb.,Petchia,cryptophlebia (Baker) Leeuwenb.,Yes,Yes,279,Yes,[279],,,,,Apocynaceae,Petchia cryptophlebia,Petchia cryptophlebia,997251-1,997251-1,Species
374,Petchia erythrocarpa (Vatke) Leeuwenb.,Petchia,erythrocarpa (Vatke) Leeuwenb.,,,,Yes,B [278],,,,,Apocynaceae,Petchia erythrocarpa,Petchia erythrocarpa,997252-1,997252-1,Species
375,Picralima nitida (Stapf) T. Durand & H. Durand,Picralima,nitida (Stapf) T. Durand & H. Durand,Yes,Yes,128,Yes,"R, SB, Se [128] [322,323]",,,Inactive,239,Apocynaceae,Picralima nitida,Picralima nitida,81115-1,81115-1,Species
376,Plectaneia thouarsii Roem. & Schult.,Plectaneia,thouarsii Roem. & Schult.,,,,,,,,Active,326,Apocynaceae,Plectaneia thouarsii,Plectaneia thouarsii,81132-1,81132-1,Species
377,Pleiocarpa mutica Benth.,Pleiocarpa,mutica Benth.,Yes,Yes,"KN, 240, 241",Yes,R [241],Yes,R [241],Inactive,240,Apocynaceae,Pleiocarpa mutica,Pleiocarpa mutica,81143-1,81143-1,Species
378,Pleiocarpa pycnantha (K. Schum.) Stapf,Pleiocarpa,pycnantha (K. Schum.) Stapf,Yes,Yes,241,,,,,,,Apocynaceae,Pleiocarpa pycnantha,Pleiocarpa pycnantha,81144-1,81144-1,Species
379,Pleiocarpa rostrata Benth.,Pleiocarpa,rostrata Benth.,Yes,Yes,241,,,,,,,Apocynaceae,Pleiocarpa rostrata,Pleiocarpa rostrata,81145-1,81145-1,Species
380,Pleioceras barteri Baill.,Pleioceras,barteri Baill.,Yes,Yes,207,,,,,,,Apocynaceae,Pleioceras barteri,Pleioceras barteri,81155-1,81155-1,Species
381,Plumeria alba L.,Plumeria,alba L.,,,,Yes ,"[79, 327]",,,Inactive,88,Apocynaceae,Plumeria alba,Plumeria alba,81171-1,81171-1,Species
382,Plumeria obtusa L.,Plumeria,obtusa L.,Yes,Yes,116,,,,,,,Apocynaceae,Plumeria obtusa,Plumeria obtusa,81256-1,81256-1,Species
383,Plumeria pudica Jacq.,Plumeria,pudica Jacq.,Yes,Yes,244,,,,,,,Apocynaceae,Plumeria pudica,Plumeria pudica,81268-1,81268-1,Species
384,Plumeria rubra L.,Plumeria,rubra L.,Yes,Yes,140,Yes,B [261],Yes ,"B, R [79]",Active,242,Apocynaceae,Plumeria rubra,Plumeria rubra,81275-1,81275-1,Species
385,Plumeria sericifolia C. Wright ex Griseb.,Plumeria,sericifolia C. Wright ex Griseb.,Yes,Yes,243,,,,,,,Apocynaceae,Plumeria sericifolia,Plumeria sericifolia,204004-2,204004-2,Species
386,Pottsia laxiflora,Pottsia,laxiflora,,,,,,,,,,Apocynaceae,Pottsia laxiflora,Pottsia laxiflora,81319-1,81319-1,Species
387,Prestonia amabilis J. F. Morales,Prestonia,amabilis J. F. Morales,Yes,Yes,333,,,,,,,Apocynaceae,Prestonia amabilis,Prestonia amabilis,60436267-2,60436267-2,Species
388,Prestonia amazonica (Benth. ex Müll. Arg.) J. F. Macbr.,Prestonia,amazonica (Benth. ex Müll. Arg.) J. F. Macbr.,Yes,Yes,"KN, 245",,,,,,,Apocynaceae,Prestonia amazonica,Prestonia amazonica,81326-1,81326-1,Species
389,Prestonia coalita (Vell.) Woodson,Prestonia,coalita (Vell.) Woodson,Yes,No,334,,,,,,,Apocynaceae,Prestonia coalita,Prestonia coalita,210086-2,210086-2,Species
390,Prestonia erecta J. F. Morales,Prestonia,erecta J. F. Morales,Yes,Yes,144,,,,,,,Apocynaceae,Prestonia erecta,Prestonia erecta,1006675-1,1006675-1,Species
391,Prestonia megagros (Vell.) Woodson,Prestonia,megagros (Vell.) Woodson,Yes,Yes,65,,,,,,,Apocynaceae,Prestonia megagros,Prestonia megagros,210124-2,210124-2,Species
392,Prestonia portobellensis (Beurl.) Woodson,Prestonia,portobellensis (Beurl.) Woodson,Yes,Yes,332,,,,,,,Apocynaceae,Prestonia portobellensis,Prestonia portobellensis,210135-2,210135-2,Species
393,Prestonia quinquangularis (Jacq.) Spreng.,Prestonia,quinquangularis (Jacq.) Spreng.,Yes,Yes,334,,,,,,,Apocynaceae,Prestonia quinquangularis,Prestonia quinquangularis,81405-1,81405-1,Species
394,Pteralyxia laurifolia (G. Don) Leeuwenb.,Pteralyxia,laurifolia (G. Don) Leeuwenb.,Yes,Yes,281,,,,,,,Apocynaceae,Pteralyxia laurifolia,Pteralyxia laurifolia,1007058-1,1007058-1,Species
395,Rauvolfia bahiensis A.DC.,Rauvolfia,bahiensis A.DC.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia bahiensis,Rauvolfia bahiensis,81511-1,81511-1,Species
396,Rauvolfia balansae (Baill.) Boiteau,Rauvolfia,balansae (Baill.) Boiteau,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia balansae,Rauvolfia balansae,909641-1,909641-1,Species
397,Rauvolfia biauriculata Müll.Arg.,Rauvolfia,biauriculata Müll.Arg.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia biauriculata,Rauvolfia biauriculata,81513-1,81513-1,Species
398,Rauvolfia caffra Sond.,Rauvolfia,caffra Sond.,Yes,Yes,KN,,,,,Inactive,100,Apocynaceae,Rauvolfia caffra,Rauvolfia caffra,81519-1,81519-1,Species
399,Rauvolfia cambodiana Pierre ex Pit.,Rauvolfia,cambodiana Pierre ex Pit.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia cambodiana,Rauvolfia cambodiana,81520-1,81520-1,Species
400,Rauvolfia cubana A.DC.,Rauvolfia,cubana A.DC.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia cubana,Rauvolfia cubana,81531-1,81531-1,Species
401,Rauvolfia grandiflora Mart. ex A.DC.,Rauvolfia,grandiflora Mart. ex A.DC.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia grandiflora,Rauvolfia grandiflora,81545-1,81545-1,Species
402,Rauvolfia ligustrina Roem. & Schult.,Rauvolfia,ligustrina Roem. & Schult.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia ligustrina,Rauvolfia ligustrina,81565-1,81565-1,Species
403,Rauvolfia littoralis Rusby,Rauvolfia,littoralis Rusby,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia littoralis,Rauvolfia littoralis,217921-2,217921-2,Species
404,Rauvolfia mannii Stapf,Rauvolfia,mannii Stapf,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia mannii,Rauvolfia mannii,81579-1,81579-1,Species
405,Rauvolfia media Pichon,Rauvolfia,media Pichon,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia media,Rauvolfia media,81583-1,81583-1,Species
406,Rauvolfia mombasiana Stapf,Rauvolfia,mombasiana Stapf,Yes,Yes,283,Yes,R [98],,,Inactive,305,Apocynaceae,Rauvolfia mombasiana,Rauvolfia mombasiana,81591-1,81591-1,Species
407,Rauvolfia nitida Jacq.,Rauvolfia,nitida Jacq.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia nitida,Rauvolfia nitida,81598-1,81598-1,Species
408,Rauvolfia pentaphylla Huber ex Ducke,Rauvolfia,pentaphylla Huber ex Ducke,Yes,Yes,64,Yes,329,,,,,Apocynaceae,Rauvolfia pentaphylla,Rauvolfia pentaphylla,217935-2,217935-2,Species
409,Rauvolfia sandwicensis A. DC.,Rauvolfia,sandwicensis A. DC.,Yes,Yes,"KN, 280",,,,,,,Apocynaceae,Rauvolfia sandwicensis,Rauvolfia sandwicensis,81642-1,81642-1,Species
410,Rauvolfia sellowii Müll.Arg.,Rauvolfia,sellowii Müll.Arg.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia sellowii,Rauvolfia sellowii,328979-2,328979-2,Species
411,Rauvolfia semperflorens (Müll.Arg.),Rauvolfia,semperflorens (Müll.Arg.),Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia semperflorens,Rauvolfia semperflorens,81646-1,81646-1,Species
412,Rauvolfia serpentina (L.) Benth. ex Kurz,Rauvolfia,serpentina (L.) Benth. ex Kurz,Yes,Yes,"KN, 335",,,Yes,R [79],,,Apocynaceae,Rauvolfia serpentina,Rauvolfia serpentina,81648-1,81648-1,Species
413,Rauvolfia sevenetii Boiteau,Rauvolfia,sevenetii Boiteau,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia sevenetii,Rauvolfia sevenetii,81499-1,81499-1,Species
414,Rauvolfia spathulata Boiteau,Rauvolfia,spathulata Boiteau,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia spathulata,Rauvolfia spathulata,81500-1,81500-1,Species
415,Rauvolfia sprucei Müll. Arg.,Rauvolfia,sprucei Müll. Arg.,Yes,Yes,"KN, 65",,,,,,,Apocynaceae,Rauvolfia sprucei,Rauvolfia sprucei,81652-1,81652-1,Species
416,Rauvolfia sumatrana Jack,Rauvolfia,sumatrana Jack,Yes,Yes,"KN, 142",,,,,,,Apocynaceae,Rauvolfia sumatrana,Rauvolfia sumatrana,81660-1,81660-1,Species
417,Rauvolfia tetraphylla L.,Rauvolfia,tetraphylla L.,Yes,Yes,63,Yes,"L, R [79]",Yes,"L, R [79]",,,Apocynaceae,Rauvolfia tetraphylla,Rauvolfia tetraphylla,81663-1,81663-1,Species
418,Rauvolfia verticillata (Lour.) Baill.,Rauvolfia,verticillata (Lour.) Baill.,Yes,Yes,"KN, 201",Yes,[79],,,,,Apocynaceae,Rauvolfia verticillata,Rauvolfia verticillata,81667-1,81667-1,Species
419,Rauvolfia viridis Roem. & Schult.,Rauvolfia,viridis Roem. & Schult.,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia viridis,Rauvolfia viridis,81670-1,81670-1,Species
420,Rauvolfia volkensii (K.Schum.) Stapf,Rauvolfia,volkensii (K.Schum.) Stapf,Yes,Yes,KN,,,,,,,Apocynaceae,Rauvolfia volkensii,Rauvolfia volkensii,81672-1,81672-1,Species
421,Rauvolfia vomitoria Wennberg,Rauvolfia,vomitoria Wennberg,Yes,Yes,"KN, 128",Yes,"[128,147, 322]",Yes,328,Active,146,Apocynaceae,Rauvolfia vomitoria,Rauvolfia vomitoria,81673-1,81673-1,Species
422,Rhazya stricta Decne.,Rhazya,stricta Decne.,Yes,Yes,246,,,,,,,Apocynaceae,Rhazya stricta,Rhazya stricta,81712-1,81712-1,Species
423,Saba comorensis (Bojer ex A. DC.) Pichon,Saba,comorensis (Bojer ex A. DC.) Pichon,,,,Yes,[103],,,,,Apocynaceae,Saba comorensis,Saba comorensis,81757-1,81757-1,Species
